"PVWatts: Hourly PV Performance Data"
"Requested Location:","sioux falls"
"Location:","Lat, Lon: 43.49, -96.74"
"Lat (deg N):","43.49"
"Long (deg W):","96.74"
"Elev (m):","447.35998535156"
"DC System Size (kW):","500"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.104"
"Capacity Factor (%)","15.9"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"4","1","18","223","23","0","1","36.074","-0.122","12771.964","9985.265"
"4","1","19","0","0","-1","1","0","-1","0","0"
"4","1","20","0","0","-2","1","0","-2","0","0"
"4","1","21","0","0","-3","1","0","-3","0","0"
"4","1","22","0","0","-3","1","0","-3","0","0"
"4","1","23","0","0","-4","1","0","-4","0","0"
"4","2","0","0","0","-4","1","0","-4","0","0"
"4","2","1","0","0","-5","1","0","-5","0","0"
"4","2","2","0","0","-5","1","0","-5","0","0"
"4","2","3","0","0","-5","2","0","-5","0","0"
"4","2","4","0","0","-5","2","0","-5","0","0"
"4","2","5","0","0","-4","2","0","-4","0","0"
"4","2","6","131","24","-3","2","30.286","-4.294","12174.241","9398.847"
"4","2","7","430","71","-1","2","193.058","2.388","80112.461","75882.086"
"4","2","8","781","90","1","2","489.67","13.237","212123.578","204084.609"
"4","2","9","890","96","4","3","722.871","21.106","312292.094","300498.469"
"4","2","10","953","97","6","3","904.153","27.871","381992.438","367145.969"
"4","2","11","984","96","7","3","1019.847","31.935","423535.906","406698.031"
"4","2","12","974","106","8","3","1052.607","33.911","433123.813","415808.094"
"4","2","13","960","106","8","3","1009.426","33.007","417033.438","400515.75"
"4","2","14","930","103","8","3","892.956","30.236","373045.219","358610.844"
"4","2","15","885","93","8","3","718.087","25.893","303422.063","291991"
"4","2","16","795","82","7","2","489.76","20.897","204868.938","197072.906"
"4","2","17","622","62","4","1","240.292","12.163","93425.969","88870.25"
"4","2","18","225","24","1","1","36.888","0.924","13109.767","10316.667"
"4","2","19","0","0","0","1","0","0","0","0"
"4","2","20","0","0","0","1","0","0","0","0"
"4","2","21","0","0","-1","1","0","-1","0","0"
"4","2","22","0","0","-2","1","0","-2","0","0"
"4","2","23","0","0","-2","1","0","-2","0","0"
"4","3","0","0","0","-2","1","0","-2","0","0"
"4","3","1","0","0","-3","1","0","-3","0","0"
"4","3","2","0","0","-3","1","0","-3","0","0"
"4","3","3","0","0","-3","2","0","-3","0","0"
"4","3","4","0","0","-3","2","0","-3","0","0"
"4","3","5","0","0","-3","2","0","-3","0","0"
"4","3","6","239","24","-2","2","37.082","-3.085","13250.188","10454.426"
"4","3","7","627","60","0","3","239.796","4.191","96374.313","91744.758"
"4","3","8","786","81","3","4","484.626","12.654","210461.781","202478.813"
"4","3","9","836","107","6","4","700.137","20.925","302913.281","291502.875"
"4","3","10","867","126","8","4","871.695","27.062","369797.031","355510.813"
"4","3","11","880","138","9","4","978.48","30.65","408927.938","392804.938"
"4","3","12","877","146","10","4","1012.664","32.548","419489","402850.75"
"4","3","13","856","148","10","4","967.159","31.658","402234.094","386433.375"
"4","3","14","489","255","10","3","693.398","27.436","293881.281","282833.719"
"4","3","15","82","257","9","3","316.355","16.819","140770.453","134950.984"
"4","3","16","0","129","8","2","124.041","10.52","56914.41","53219.441"
"4","3","17","282","89","7","2","169.224","10.074","70483.086","66479.813"
"4","3","18","59","26","5","2","28.14","4.237","12108.987","9334.825"
"4","3","19","0","0","5","3","0","5","0","0"
"4","3","20","0","0","4","4","0","4","0","0"
"4","3","21","0","0","3","4","0","3","0","0"
"4","3","22","0","0","2","4","0","2","0","0"
"4","3","23","0","0","1","5","0","1","0","0"
"4","4","0","0","0","1","5","0","1","0","0"
"4","4","1","0","0","0","5","0","0","0","0"
"4","4","2","0","0","0","5","0","0","0","0"
"4","4","3","0","0","0","5","0","0","0","0"
"4","4","4","0","0","0","4","0","0","0","0"
"4","4","5","0","0","0","4","0","0","0","0"
"4","4","6","0","10","0","5","9.462","-1.26","4566.538","1932.702"
"4","4","7","0","8","0","5","7.57","-1.328","3654.278","1037.128"
"4","4","8","0","32","1","6","30.348","0.226","14555.459","11734.872"
"4","4","9","0","26","2","7","24.678","1.242","11785.522","9017.465"
"4","4","10","3","172","3","8","168.419","4.43","79344.227","75132.227"
"4","4","11","0","70","4","9","66.635","4.048","31445.072","28291.842"
"4","4","12","7","192","5","9","192.499","6.699","89809.82","85343.773"
"4","4","13","0","48","5","10","45.667","4.792","21482.057","18527.613"
"4","4","14","5","185","4","9","183.012","5.548","85803.602","81435.766"
"4","4","15","0","104","2","8","99.163","2.545","47096.559","43616.129"
"4","4","16","0","109","1","7","104.288","1.592","49731.211","46193.914"
"4","4","17","0","7","0","7","6.623","-0.975","3192.537","583.809"
"4","4","18","0","1","0","7","0.945","-1.171","455.67","0"
"4","4","19","0","0","0","7","0","0","0","0"
"4","4","20","0","0","0","7","0","0","0","0"
"4","4","21","0","0","0","7","0","0","0","0"
"4","4","22","0","0","0","7","0","0","0","0"
"4","4","23","0","0","0","7","0","0","0","0"
"4","5","0","0","0","0","7","0","0","0","0"
"4","5","1","0","0","-1","7","0","-1","0","0"
"4","5","2","0","0","-1","7","0","-1","0","0"
"4","5","3","0","0","-1","7","0","-1","0","0"
"4","5","4","0","0","-1","7","0","-1","0","0"
"4","5","5","0","0","-1","6","0","-1","0","0"
"4","5","6","0","1","-1","6","0.945","-2.31","457.844","0"
"4","5","7","0","9","0","7","8.517","-1.056","4106.8","1481.381"
"4","5","8","88","184","0","7","227.482","2.471","106958.438","102058.516"
"4","5","9","2","166","0","8","161.504","1.497","77037.43","72880.328"
"4","5","10","64","315","1","8","375.049","5.595","175735.469","168875.688"
"4","5","11","91","370","2","8","465.841","8.134","215961.25","207792.172"
"4","5","12","900","180","2","8","1073.903","17.206","478135.719","416666.656"
"4","5","13","897","173","3","8","1034.138","18.174","458252.375","416666.656"
"4","5","14","873","162","3","8","916.969","16.406","408767.156","392651.938"
"4","5","15","146","269","3","8","379.842","8.358","175288.031","168442.141"
"4","5","16","788","102","2","8","510.464","8.798","226127.797","217608.766"
"4","5","17","628","74","0","7","256.099","3.471","104482.172","99646.25"
"4","5","18","253","30","0","6","43.43","-0.217","15906.719","13060.299"
"4","5","19","0","0","0","6","0","0","0","0"
"4","5","20","0","0","-1","6","0","-1","0","0"
"4","5","21","0","0","-2","6","0","-2","0","0"
"4","5","22","0","0","-3","6","0","-3","0","0"
"4","5","23","0","0","-4","6","0","-4","0","0"
"4","6","0","0","0","-5","6","0","-5","0","0"
"4","6","1","0","0","-5","6","0","-5","0","0"
"4","6","2","0","0","-5","6","0","-5","0","0"
"4","6","3","0","0","-5","5","0","-5","0","0"
"4","6","4","0","0","-5","5","0","-5","0","0"
"4","6","5","0","0","-5","5","0","-5","0","0"
"4","6","6","307","31","-4","6","47.921","-4.429","17211.225","14339.736"
"4","6","7","669","71","-3","7","269.514","0.178","111556.773","106536.789"
"4","6","8","820","98","-1","7","527.806","6.573","236312.688","227435.359"
"4","6","9","901","117","0","7","763.123","11.636","344593.031","331429.531"
"4","6","10","951","128","1","7","950.947","15.91","424868.094","407964.25"
"4","6","11","977","135","2","7","1064.042","18.932","469881.125","416666.656"
"4","6","12","968","150","3","7","1109.19","20.784","485838.188","416666.656"
"4","6","13","954","151","4","7","1065.326","21.135","465707.938","416666.656"
"4","6","14","931","141","4","7","944.858","19.156","415945.813","399481.375"
"4","6","15","898","120","4","7","759.993","16.06","336347.344","323540.938"
"4","6","16","816","101","3","6","524.316","11.962","229028.438","220408.156"
"4","6","17","666","72","1","5","265.53","5.633","106987.508","102086.828"
"4","6","18","327","29","-1","3","46.243","-1.024","15929.029","13082.182"
"4","6","19","0","0","-3","2","0","-3","0","0"
"4","6","20","0","0","-3","3","0","-3","0","0"
"4","6","21","0","0","-4","2","0","-4","0","0"
"4","6","22","0","0","-4","2","0","-4","0","0"
"4","6","23","0","0","-5","2","0","-5","0","0"
"4","7","0","0","0","-5","1","0","-5","0","0"
"4","7","1","0","0","-5","1","0","-5","0","0"
"4","7","2","0","0","-5","1","0","-5","0","0"
"4","7","3","0","0","-5","1","0","-5","0","0"
"4","7","4","0","0","-4","1","0","-4","0","0"
"4","7","5","0","0","-4","1","0","-4","0","0"
"4","7","6","289","35","-3","1","50.723","-3.836","18886.955","15983.08"
"4","7","7","320","93","-1","1","190.169","3.069","81803.227","77532.266"
"4","7","8","807","104","1","1","529.934","16.906","226985.297","218436.391"
"4","7","9","885","123","3","2","760.647","23.554","325494.313","313150.156"
"4","7","10","920","143","4","2","942.967","29.946","394701.938","379259.844"
"4","7","11","935","157","6","2","1057.491","35.267","432149.906","414883.063"
"4","7","12","914","180","7","2","1090.405","37.36","441132.625","416666.656"
"4","7","13","911","172","8","2","1048.643","37.354","424109.75","407243.438"
"4","7","14","882","162","9","2","926.61","35.123","378169.375","363499.719"
"4","7","15","481","209","10","2","563.182","26.417","238375.688","229424.844"
